id_atendimento,qtd_atendimentos,Qtd_atd_rec,data,Descricao,
RCEU,102514,102514,8/26/2025,INCLUSÃO CONSULTAS EXTERNAS API CAD ÚNICO.,
ATAE,-1098,-1098,8/4/2025,DEDUÇÃO DE DEMANDAS DE ATIVO DE EMAIL FATURADAS EM DUPLICIDADE NO MES DE JUNHO.,
ATAE,1098,1098,6/2/2025,"INCLUSÃO MANUAL DE DEMANDAS FATURADAS NO MÊS DE JUNHO, DEVIDO A RETIRADA DA DUPLICIDADE DE ENVIOS.",
MHGAPP,106717,106717,9/30/2025,INCLUSÃO DAS DEMANDAS RECEBIDAS DO FALABR E DEMANDAS DE INE TRATADAS EM CRM DO PERIODO DE SETEMBRO/24 A AGOSTO/25.,
RCEU,-85,-85,7/30/2025,DEDUÇÃO MANUAL DE DEMANDAS RECEBIDAS NA URA POR ERRO DE CARGA.,
RCEU,85,85,9/30/2025,INCLUSÃO DE DEMANDAS RECEBIDAS NA URA NÃO FATURADAS NO MÊS DE JULHO POR ERRO DE CARGA DOS DADOS.,
ATAE,-7714,-7718,10/10/2025,DEDUÇÃO DE DEMANDAS DE ATIVO DE EMAIL FATURADAS EM DUPLICIDADE NO MES DE AGOSTO.,
ATAE,7714,7718,8/29/2025,"INCLUSÃO MANUAL DE DEMANDAS FATURADAS NO MÊS DE AGOSTO, DEVIDO A RETIRADA DA DUPLICIDADE DE ENVIOS.",
ATAE,1,1,10/10/2025,"INCLUSÃO MANUAL DE DEMANDAS FATURADAS NO MÊS DE AGOSTO, DEVIDO A ERRO DE CARGA.",
ATAE,-1,-1,8/29/2025,DEDUÇÃO DE DEMANDAS DE ATIVO DE EMAIL POR ERRO DE CARGA NO MES DE AGOSTO.,
ATAE_M,1,1,10/10/2025,"INCLUSÃO MANUAL DE DEMANDAS FATURADAS NO MÊS DE AGOSTO, DEVIDO A ERRO DE CARGA.",
ATAE_M,-1,-1,8/29/2025,DEDUÇÃO DE DEMANDAS DE ATIVO DE EMAIL POR ERRO DE CARGA NO MES DE AGOSTO.,
ATAE,1,1,10/10/2025,"INCLUSÃO MANUAL DE DEMANDAS FATURADAS NO MÊS DE JULHO, DEVIDO A ERRO DE CARGA.",
ATAE,-1,-1,7/28/2025,DEDUÇÃO DE DEMANDAS DE ATIVO DE EMAIL POR ERRO DE CARGA NO MES DE JULHO.,
ATAE_M,1,1,10/10/2025,"INCLUSÃO MANUAL DE DEMANDAS FATURADAS NO MÊS DE JULHO, DEVIDO A ERRO DE CARGA.",
ATAE_M,-1,-1,7/31/2025,DEDUÇÃO DE DEMANDAS DE ATIVO DE EMAIL POR ERRO DE CARGA NO MES DE JULHO.,
RCHG_M,-21,0,11/4/2024,"DEDUÇÃO DE DEMANDAS FATURADAS NA TELEFONIA, DEVIDO A ERRO DE CARGA",
RCHG_M,-27,0,11/6/2024,"DEDUÇÃO DE DEMANDAS FATURADAS NA TELEFONIA, DEVIDO A ERRO DE CARGA",
MSMIEW,33765,0,12/1/2025,EXPURGO / ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT,
MSMIEW,-27303,0,12/2/2025,EXPURGO / ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT,
MSMIEW,-20113,0,12/3/2025,EXPURGO / ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT,
MSMIEW,-15448,0,12/4/2025,EXPURGO / ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT,
MSMIEW,-14441,0,12/5/2025,EXPURGO / ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT,
MSMIEW,-6328,0,12/6/2025,EXPURGO / ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT,
MSMIEW,-3716,0,12/7/2025,EXPURGO / ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT,
MSMIEW,-14037,0,12/8/2025,EXPURGO / ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT,
MSMIEW,-16479,0,12/9/2025,EXPURGO / ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT,
MSMIEW,-13866,0,12/10/2025,EXPURGO / ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT,
MSMIEW,-10645,0,12/11/2025,EXPURGO / ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT,
MSMIEW,-8137,0,12/12/2025,EXPURGO / ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT,
MSMIEW,-3192,0,12/13/2025,EXPURGO / ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT,
MSMIEW,-2903,0,12/14/2025,EXPURGO / ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT,
MSMIEW,-11324,0,12/15/2025,EXPURGO / ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT,
MSMIEW,-10012,0,12/16/2025,EXPURGO / ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT,
MSMIEW,-8513,0,12/17/2025,EXPURGO / ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT,
MSMIEW,-7665,0,12/18/2025,EXPURGO / ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT,
MSMIEW,-5558,0,12/19/2025,EXPURGO / ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT,
MSMIEW,-2733,0,12/20/2025,EXPURGO / ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT,
MSMIEW,-3005,0,12/21/2025,EXPURGO / ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT,
MSMIEW,-8701,0,12/22/2025,EXPURGO / ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT,
MSMIEW,-5650,0,12/23/2025,EXPURGO / ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT,
MSMIEW,-2577,0,12/24/2025,EXPURGO / ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT,
MSMIEW,-1769,0,12/25/2025,EXPURGO / ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT,
MSMIEW,-5420,0,12/26/2025,EXPURGO / ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT,
MSMIEW,-3428,0,12/27/2025,EXPURGO / ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT,
MSMIEW,-2511,0,12/28/2025,EXPURGO / ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT,
MSMIEW,-6636,0,12/29/2025,EXPURGO / ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT,
MSMIEW,-5346,0,12/30/2025,EXPURGO / ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT,
MSMIEW,-2649,0,12/31/2025,EXPURGO / ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT,
ATAE,-196089,-317973,12/5/2025,"EXPURGO ATIVO DE E-MAIL DISPARADO MANUALMENTE, POR MOTIVO DE ERRO EM STATUS NO CITSMART.",
MSMIEW,216340,216340,3/2/2026,ACRESCIMO DEMANDAS WHATSAPP DEVIDO A ERRO NA NAVEGAÇÃO DO BOT REF. AO MÊS DE DEZEMBRO/2025.,
ATAE,196089,196089,3/2/2026,PAGAMENTO DEMANDAS ATIVO E-MAIL DISPARADOS EM DEZEMBRO/2025.,
RCEU,2651802,2651802,3/2/2026,INCLUSÃO ACESSO FATURAVEIS REF. AOS MESES DE JAN E FEV DE 2026 DEVIDO AO NOVO CALCULO DE FATURAMENTO ACORDADO.,
,,,,,
